model,template,tier,sigma_empirical,eta_ceiling,ceiling_kind,sigma_CRLB_over_MF,coh_sd_band,inc_rms_shape,norm_ratio_band,norm_ratio_rms,eta_vs_norm_band,f_s,xi_rms,eta_var2_best
T0_ANISO,compact,T0,0.3374466511653068,1.0,null (Gaussian),1.0,,,,,,,,1.0370
T0_ANISO,extended,T0,0.8093073295081356,1.0,null (Gaussian),1.0,,,,,,,,1.0010
T0_RED_REAL,compact,T0,12.181291668741302,1.0,null (Gaussian),1.0,,,,,,,,1.0644
T0_RED_REAL,extended,T0,0.8536554270199483,1.0,null (Gaussian),1.0,,,,,,,,1.0219
T0_RED,compact,T0,0.32395762510258175,1.0,null (Gaussian),1.0,,,,,,,,0.9445
T0_RED,extended,T0,0.74216399508373,1.0,null (Gaussian),1.0,,,,,,,,1.0131
T0_WHITE,compact,T0,7.598081327954563,1.0,null (Gaussian),1.0,,,,,,,,0.9782
T0_WHITE,extended,T0,0.12418215540132231,1.0,null (Gaussian),1.0,,,,,,,,0.9466
T1_PSRAND_AMP,compact,T1,0.3148089198311826,1.1067513664157584,exact quadrature (hp),0.9505500008743087,0.33111260375597884,0.0,0.8955937914419034,0.8955937914419037,0.9911996524317964,,,
T1_PSRAND_AMP,extended,T1,0.765613249322245,1.116360937363191,exact quadrature (hp),0.9464500187461093,0.33111260375597884,0.0,0.8955937914419037,0.8955937914419034,0.9998059245107378,,,
T1_PSRAND_SLOPE,compact,T1,0.38516630796784784,1.5637938159923397,exact quadrature (hp),0.7996689886603091,0.6598604276625659,0.11552349412433577,0.6514554866672106,3.1633203063703963,1.018742061444464,,,
T1_PSRAND_SLOPE,extended,T1,1.3343650759410068,9.461312886091314,exact quadrature (hp),0.325105485625244,1.4112845337529134,0.37599353022087506,0.1598532587963101,0.25058446196101797,1.5124216973332183,,,
T1_PSRAND,compact,T1,0.3898149596667393,1.7882804511203059,exact quadrature (hp),0.747794360326751,0.7382759242729566,0.11552349412433027,0.583439489259917,2.8330500267274257,1.043353433055125,,,1.4590
T1_PSRAND,extended,T1,1.3757586358066662,11.220847876663033,exact quadrature (hp),0.29852943754082356,1.4496067023769732,0.37599353022087806,0.14316358611973126,0.2244218883640978,1.6064168213270518,,,4.6354
T1_RANDOR,compact,T1,1.2616162518963274,9.147777734103974,exact quadrature (hp),0.3306299550378428,0.0015661845819354005,1.208868780728105,0.9998498886608133,0.9999945671629931,9.146404548937724,,,6.4496
T1_RANDOR,extended,T1,0.9263478585866061,1.2708092639495325,exact quadrature (hp),0.8870739257057009,0.0019344415211838622,0.47189045056326506,0.9999832404675129,0.9999958477979665,1.2707879657803884,,,1.0792
T2_CROSS_POS,compact,T2,0.36227127432889045,4.41479909155252,complete-data bound,,,,,,,0.017418002930956404,20.0284481048584,0.9932
T2_CROSS_POS,extended,T2,0.7517988968357125,1.0117497378927562,complete-data bound,,,,,,,0.009712198720297223,20.0284481048584,1.0053
T2_CROSS_SYM,compact,T2,0.3751053821767369,4.578443842551921,complete-data bound,,,,,,,0.007796078708843718,15.339860916137695,0.9561
T2_CROSS_SYM,extended,T2,0.7687415978664172,1.0692780113911577,complete-data bound,,,,,,,0.05732163604412496,15.339860916137695,1.0109
T2_GLITCH,compact,T2,2.0183498976621816,144.13913351541825,complete-data bound,,,,,,,0.5081672139138049,20.422012329101562,1.2185
T2_GLITCH,extended,T2,0.8519421618839262,1.0633044615057228,complete-data bound,,,,,,,0.06043335691443889,20.422012329101562,0.9637
T2_MEDIAN,compact,T2,0.34344733808406674,,pending variational2,,,,,,,,,0.9718
T2_MEDIAN,extended,T2,0.7722556605588108,,pending variational2,,,,,,,,,0.9975
T2_PCA,compact,T2,0.3484122239279261,3.8705683062647442,complete-data bound,,,,,,,0.07018970256983664,49.30832290649414,0.9408
T2_PCA,extended,T2,1.797376090391944,4.957665546508246,complete-data bound,,,,,,,0.3971121237648422,49.30832290649414,1.6305
